##name	Finance, Economy, Law and Business
##sourceLang	English
##targetLang	Hebrew
##bgl_defaultCharset	cp1252
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1255
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1255
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2005/08/13, 09:30
##author	Yael Sela-Shapiro
##description	This glossary holds financial, economic and legal terms. All terms are verified. \nPlease note that some terms may have more than one translation.
##browsingEnabled	
##bgl_creationTime	2004/02/25, 07:52
8EAF66FD.bmp	File: 8EAF66FD.bmp
primary asset	נכס ראשי
private consumption expenditure	הוצאה לצריכה פרטית
probate Order	צו קיום צוואה
procurement	רֶכש
product design verification	אימות תכן המוצר (בניהול איכות)
production input|production inputs	תשומה ליצור
production price index	מדד מחירי היצור
profit margin|margin of profit	שולי רווח
program evaluation review technique|PERT	טכניקה להערכת תוכנית ובדיקתה
progress billing	(חיוב) על בסיס התקדמות (העבודה)
projected sales	תחזית מכירות
pronouncement	הודעה פומבית
property improvement|property improvements	שיפור הכלול בנכס
proportional analysis	ניתוח יחסי
proprietorship	בעלות
provision	עתודה
proxy fignt	מאבקי שליטה (נסיון להשתלט על חברה באמצעות שכנוע בעלי מניות לייפות את כוחם של אחרים להצביע בשמם, כלומר להעביר את זכויות ההצבעה שלהם לאדם אחר)
public switched network|PSN|public switch	רשת מיתוג ציבורית
purchasing record|purchase record|purchasing records	רשומת קניה
quantity variance	סטיית כמות
range check	בידוק טווח (סטטיסטיקה)
realizable	בר-מימוש
realizable value	ערך בר-מימוש
reasonableness test	מבחן סבירוּת (סטטיסטיקה)
receipt journal	יומן תקבולים
receivables	חשבונות חייבים
receiving report	דוח תקבולים
reconciliation	התאמות הבנק
recoupment	כיסוי הפסדים (על ידי העלאת המחיר)
recoverable	בר השבה
recovery	התאוששות
redemption	פדיונות
registered bond	אג"ח על שם / רשומה
registrar of Societies	רשם העמותות
regulatory notice	הודעת הסדרה / הודעה מסדירה
remaining Maturity	פירעון נותר
remote	(סיכוי) קלוש (בכלכלה ופיננסים)
render service	לתת שרות
rendering service|rendering services	מתן שירותים
rental	הכנסה מהשכרה
reorder|reordering	חידוש מלאי
repair	תיקון
repurchase Agreement|Repurchase Agreements|repo|repos	הסכם רכש חוזר
residential building	בניה למגורים
residual income	הכנסה שיורית
retained earnings	רווח בלתי מחולק
retest	בחינה מחדש
retire	לפדות / לסלק (נייר ערך או התחייבות)
retributive justice	צדק גמולי
return on assets|ROA	תשואה לנכסים
return on equity|ROE	תשואה להון עצמי
revelation surplus	עודף משיערוך
revenue recognition	הכרה בהכנסה
reverse entry	ביטול רישום
reverse split	פיצול הפוך
reversing entry	רישום מחזיר
review	סקירה, לסקור
revised estimate|revised	אומדן מתוקן
revision	תיקון
rework	עיבוד מחדש
ring network	רשת טבעת
risk exposure	חשיפה לסיכון
robustness	חסינות
role of Income|Income role	תפקיד ההכנסה
role of assets|asset role|assets role	תפקיד הנכסים
roll of Contractors	פנקס הקבלנים
safety stock	מלאי ביטחון
sales discount|purchase discount	הנחת מכירות.<BR>נקראת גם "הנחת קניות" (purchase discount) בספרי החשבונות של הקונה.
sales journal	יומן מכירות
sales return|sale return	החזר מכירות
sampling interval	מרווח דגימה
scatter diagram	דיאגרמת פיזור
schedule	גיול (חשבונאות)
scienter	מוּדעוּת
screening|screen	סינון (בניהול איכות)
sector report	דיווח על פי תחומי פעילות
segment report	דיווח מגזרי
self checking digit	ספרת ביקורת עם בדיקה עצמית
sequence check	בדיקת רציפוּת
service a loan|loan service|servicing a loan	מתן שירותי הלוואה
service level agreement|SLA	הסכם רמת שירות
settings	הגדרות (מחשבים)
settlement	ביצוע תשלום
share premium	פרמיה על מניות
shareware	תוכנה שיתופית / שוֹתְפה
short term debt|short-term debt	חוב לטווח קצר
significant deficiency	ליקוי מהותי
significant weakness	חולשה מהותית
slander	הוצאת דיבה
slip	שובר
sole proprietor	בעלים יחיד
sole proprietorship	בעלות יחיד
specification Limit	גבול מפרט (בבקרת תהליכים)
standard cost variance	סטיית עלות תקנית
standard error	שגיאת/טעות תקן
stated interest rate	שער ריבית נקוב
statement	דו"ח
statement of facts|facts statement	תסקיר עובדות
stock variable|stock variables	משתנה בסיסי (המונה והמכנה הם משתנים בסיסיים בכלכלה)
stockout	חוסר מלאי
straight bond	אג"ח ישירה<BR>אג"ח רגילה (אקדמיה)
straight line depreciation|straight line|straight-line depreciation	שיטת פחת שווה
stratified sampling	דגימת שכבות
subordinated bond|subordinated	איגרת חוב כפופה
subsidiary ledger	ספר עזר
substantive testing	בדיקה מבססת
sufficiency	דַיוּת
sum of years method|sum of years|sum-of-years	פחת לפי סכום ספרות
supervisory review	סקירת פיקוח
supplier credit|suppliers credit	אשראי ספקים
supporting document	מסמך תומך
supporting documentation	תיעוד תומך
system control audit review file|SCARF	קובץ
systematic risk	סיכון שיטתי
tangible asset	נכס מוחשי
target value	ערך-יעד
tax loss	הפסד לצורכי מס
tax return	החזר מס / דוח מס
taxable profit	רווח חייב במס
theory of constraints|T.O.C|TOC	ניהול אילוצים / תורת האילוצים
times interest earned	יחס כיסוי ריבית
total quality management|T.Q.M|TQM	ניהול איכות כוללת
trade accounts payable	חשבון ספּק
trade barrier	מחסום סחר
trade negotiator	נציג-סחר
treasurer	גזבר
treasury bond	אג"ח ממשלתית
turnaround	מִפנֶה
turnaround goal	יעד מִפנֶה
unadjusted	לא מתואם (מאזן-בוחן לא מתואם, לדוגמה)
unamortized	בלתי מופחת
uncollectible|uncollectible account|uncollectible debt	חוב מסופק
unconscionable influence	השפעה בלתי הוגנת
undepreciated cost|depreciated	עלות בלתי מופחתת
under influence|influence under	השפעה לא הוגנת (במשפטים)
underlying share	מניה מסתתרת
unearned	(הכנסה) לא מיגיעה
unexpired	שטרם פג/ה
unexpired expense	הוצאה שטרם פגה
unity of command	יחידוּת הפיקוד (כפיפותו של כל עובד במישרין לממונה אחד בלבד)
unsecured option|unsecured	אופציה לא מובטחת
upper Control Limit|UCL	גבול בקרה עליון (בבקרת תהליכים)
upper Specification Limit|USL	גבול מפרָט עליון (בבקרת תהליכים)
useful life	משך שימוש
valid contract	חוזה תקף
validity check	בידוק תוקף (סטטיסטיקה)<BR>*בדיקת תקפות*
variables sampling	דגימת משתנים
vendor	ספק
vested benefit|vested benefits	תגמולים מוקנים
void ab initio	בטל מעיקרו
voidable contract	חוזה ניתן לביטול
volume of sales|sale volume|sales volume	היקף המכירות
voting stock	מנית הצבעה
warrant option	תעודת אופציה
warranty policy	פוליסת אחריות
weakness	חולשה
work in process	עבודה בתהליך
write-off|write off	מחיקה
yield losses	אובדן תפוקה בייצור
