##name	Computer Abbreviations v1.5
##sourceLang	English
##targetLang	English
##bgl_sourceCharset	cp1252
##bgl_targetCharset	cp1252
##bgl_defaultEncoding	cp1252
##bgl_sourceEncoding	cp1252
##bgl_targetEncoding	cp1252
##sourceCharset	UTF-8
##targetCharset	UTF-8
##utf8Encoding	
##spellingAlternatives	
##caseSensitive	
##bgl_middleUpdated	2002/09/29, 22:18
##author	ilker akkaya
##description	Computer Abbreviations and File Extensions
##bgl_creationTime	2000/10/12, 20:29
8EAF66FD.bmp	File: 8EAF66FD.bmp
.AFC	Apple Sound File<BR> ArisFlow Commander File<BR>
.AFD	ArisFlow Diagram<BR> Prismo Graphics ActiveFile Data<BR>
AFDW	Active Framework for Data Warehousing [Microsoft]
.AFF	AnyForm Form<BR>
.AFI	Truevision Bitmap Graphic<BR>
AFII	Association for Font Information Interchange
AFIRM	Automated Fingerprint Image Reporting and Match
AFIS	Automated Fingerprint Identification System
.AFL	Lotus Font <BR>
.AFM	Adobe Font Metrics (file name extension) [Adobe Systems]
.AFP	Flowchart Symbol Palette <BR> Papyrus Document Storage Format<BR> Prismo Graphics ActiveFile Proxy<BR> IBM Transactional Data Format (Advanced Function Print) (AS400 computer)<BR> Gangsters Game File (unverified)<BR>
.AFS	Filter Factory Photoshop Filter <BR> Sega Dreamcast Compressed Audio<BR>
.AFT	Flowchart Template <BR> AnyForm Template<BR>
AFTP	Anonymous File Transfer Protocol
.AFW	Flowchart Work Area <BR>
.AFX	Auto FX Photographic Edges (Photoshop add-in)<BR>
.AG	Applix Graphic <BR> Argus Spreadsheet File<BR>
.AG4	Access G4 File <BR>
AGA	Advanced Graphics Adapter
AGC	Automatic Gain Control
.AGF	Atlas GeoFile<BR>
.AGP	Aspen Graphics Pages<BR>
AGRAS	Antiglare-Antireflective-Antistatic
AGU	Address-Generation Unit
.AGW	Aspen Graphics Windows<BR>
.AHF	ASP Header File<BR>
.AHP	AutoCAD Help File<BR>
.AHQ	AudioHQ Plugin Module<BR>
.AHS	Photoshop Halftone Screens<BR>
AI	Analog Input + Artificial Intelligence
AIA	Applications Integration Architecture [DEC]
AIC	AIXwindows Interface Composer [IBM]
AIF	Audio Interchange Format
.AIFC	Audio Interchange File <BR>
.AIFF	Audio Interchange File <BR>
.AIH	ArcView Optional Index File (GIS-related file)<BR>
AIIM	Association for Information and Image Management
.AIJ	Oracle After-Image Journal<BR>
.AIL	AutoImager File (batch image conversion)<BR>
.AIM	AOL Instant Messenger File <BR>
.AIML	Artificial Intelligence Markup Language<BR>
AIN	Advanced Intelligent Network [Bell Atlantic]
.AINSO	VAX CRYSTALS Chemical Crystallogaphy File<BR>
.AIO	APL File Transfer Format<BR>
.AIP	Audiosoft Parameter File
.AIQ	AzureIQ Client File (IT Audit Reporting)<BR>
AIR	Architecture Implementation Review
.AIS	Array of Intensity Samples (Graphic) <BR> Velvet Studio Instruments<BR> ACDSee Image Sequence File<BR>
AISB	Association of Imaging Service Bureaus
AISP	Association of Information Systems Professionals
AIT	Advanced Intelligent Tape (drive) [Sony]
AIX	Advanced Interactive Executive [IBM]
.AKF	Acrobat Key File<BR>
.AKW	RoboHELP Help Project Index File <BR>
.AL	Oracle File (used for networking)<BR>
.ALA	Alan Adventure Language File<BR> Sharp Fax File (unverified)<BR>
.ALB	JASC Image Commander Album<BR> Steinberg Cubase or VST Backup Song File<BR> Photo Soap2 File<BR>
.ALBM	webAlbum Photo Album<BR> HP Photosmart Photo Printing Album<BR>
ALC	Arithmetic and Logic Circuits + Automatic Level Control
ALE	Address Latch Enable + Application Linking and Embedding
.ALF	Abacus Law File<BR> ALF Logic File ("Another logical framework"--structure editor for Martin-Löf's monomorphic type theory)<BR> AdventNet Look and Feel Standards (ALFSTANDARDS.ALF)<BR> Aventail Connect License File (AVENTAIL.ALF)<BR> VPCom Remote User Configuration File<BR> LANDesk Client Manager Configuration File<BR> ACT! User Logon Tracking<BR> Color Quick Label<BR> Cadence Ambit BuildGates<BR>
ALGOL	Algorithmic Oriented Language (see IAL)
.ALI	SAP Proprietary Format Document File<BR> OM2 OMALI Native OMALI Document <BR>
.ALIAS	Alias Image <BR>
ALIBI	Adaptive Location of Internetworked Bases of Information
.ALIGN	Insight II Sequence Alignment File<BR>
ALINK	Active Link [HTML]
ALIWEB	Archie Like Indexing in the Web [Internet]
.ALL	Arts & Letters Symbols and Characters<BR> WordPerfect Printer Info<BR> Steinberg Cubase or VST Song File<BR> Always Working Page Format File <BR>
ALN	Asynchronous Learning Network
ALR	Advanced Logic Research, Inc.
.ALS	Alias Image <BR> Calmira Shortcut File<BR>
ALT.	Alternate lifestyle [USENET Newsgroup Category]
ALU	Arithmetic Logic Unit
.ALV	Photoshop Levels<BR> Aladdin Knowledge Systems Vbox Available Languages File (software distribution)<BR>
.ALX	OM2 OMALI Plug-in Extension <BR>
.ALZ	ALZip Compressed File (Korean site)<BR> Game File (Dark Eden and others)<BR>
.AM	Applix SHELF Macro<BR> Advantage Database Server File<BR> Music File<BR>
.AM2	AutoPlay Menu Studio Version 2
.AM3	AutoPlay Menu Studio Version 3
AMA	Automatic Message Accounting
AMANDDA	Automated Messaging and Directory Assistance
.AMB	Radiance Ambient File Format<BR>
.AMC	Ant Movie Catalog<BR>
AMD	Active Matrix Display + Advanced Micro Devices, Inc.
.AMF	Advanced Module Format Music File <BR> DSMIA/Asylum Module Music <BR>
.AMG	AMGC Compressed Archive (alternate site)<BR> AMG ACTOR System Image<BR>
.AMI	Cocreate SolidDesigner Annotation File<BR> Amiga Paint <BR>
.AML	AutoMage (Automation/Macro Software)<BR>
.AMM	AMM File (pattern design pgm for Universal flat knitting machines)<BR>
AMMA	Advanced Memory Management Architecture [Everex Systems]
.AMP	Photoshop Arbitrary Map Settings<BR> PlayMedia AMP MP3 Audio File<BR>
AMPS	Advanced Mobile Phone Service
.AMR	Adaptive Multi-Rate Codec (Phone sounds) <BR>
.AMS	Extreme's Tracker Module Format<BR> Photoshop Monitor Setup<BR> Velvet Studio Module <BR>
.AMZ	The Amazon Trail Saved Game<BR>
.AN	Groundworks Text File <BR>
.AN8	Anim8or 3D Animation<BR>
.ANC	Canon Computer Pattern Maker File<BR>
ANCOVA	Analysis of Covariance
.AND	Collins Electronic Dictionary Data (Windows) / Concise Oxford Dictionary (DOS)<BR>
ANDF	Architecture-Neutral Distribution Format
.ANF	AcuteNotes File (contains one or several notes order in a hierarchy)<BR>
.ANI	Animated Cursor Microangelo <BR>
.ANIM	Amiga IFF Animation <BR>
.ANL	Project Analyzer Saved Analysis<BR>
.ANM	DeluxPaint Animation <BR>
ANN	Artificial Neural Network
.ANO	Annotation File (often used with annotating PDF files)<BR>
ANOVA	Analysis Of Variance
.ANS	ANSI Graphic <BR> Microsoft Word Text and Layout <BR>
ANSI	American National Standards Institute
.ANSR	AnswerTool File<BR>
.ANT	SimAnt for Windows Saved Game File<BR>
.ANV	AirNav <BR>
ANX	Automotive Network Exchange [Chrysler/Ford/ General Motors]
AO	Analog Output
AO/DI	Always On/Dynamic ISDN
.AOB	DVD Audio File (MPEG-2 program streams with additional info)<BR>
AOCE	Apple Open Collaboration Environment
AOE	Application Operating Environment [AT&T]
.AOF	Acorn Object Format (used for data storage) <BR>
AOL	America Online
AOS	Add Or Subtract
.AOT	ZenWorks Application Binary Object Template File<BR>
.AP	Applix Presents File<BR> Datalex EntryPoint 90 Data File<BR> WHAP-Compressed Amiga Archive<BR>
.APA	AlfaPad Organizer File<BR> ArcPad 6 Applet<BR>
APAR	Authorized Program Analysis Report [IBM]
APAREN	Address Parity Enable [IBM]
.APC	Lotus Printer Driver Characters<BR> Centura Team Developer Compiled Application File<BR>
APCUG	Association of PC User Groups
.APD	Lotus Printer Driver<BR> Centura Team Developer Dynamic Application Library File <BR>
.APE	Music Format <BR>
